uid	tcga_cs_4942_01a_bed	tcga_cs_4944_01a_bed	tcga_dh_a66b_01a_bed	tcga_du_6400_01a_bed	tcga_du_6410_01a_bed	tcga_du_7012_01a_bed	tcga_du_8158_01a_bed	tcga_du_a5tu_01a_bed	tcga_e1_5307_01a_bed	tcga_ez_7264_01a_bed	tcga_fg_8188_01a_bed	tcga_fg_a60k_01a_bed	tcga_fn_7833_01a_bed	tcga_ht_7689_01a_bed	tcga_ht_7856_01a_bed	tcga_ht_7884_01b_bed	tcga_ht_8105_01a_bed	tcga_ht_8107_01a_bed	tcga_ht_8109_01a_bed	tcga_ht_8564_01a_bed	tcga_ht_a5rc_01a_bed	tcga_ht_a618_01a_bed
FAM172A:ENSG00000113391:I15.1_93621366-E16.1|ENSG00000113391:E14.1-E16.1	0.07	0.21	0.0	0.1	0.01	0.19	0.25	0.0	0.11	0.0	0.02	0.02	0.03	0.03	0.08	0.04	0.01	0.09	0.0	0.09	0.15	0.0
GNPDA1:ENSG00000113552:E1.12-E1.14|ENSG00000113552:E1.5-E1.14	0.03	0.09	0.02	0.07	0.07	0.28	0.26	0.07	0.0	0.12	0.08	0.05	0.07	0.1	0.11	0.11	0.06	0.02	0.11	0.06	0.12	0.06
PLEKHB2:ENSG00000115762:E22.2-E24.1|ENSG00000115762:E23.1-E24.1	0.85	0.75	0.8	0.85	0.9	0.76	0.76	0.77	0.81	0.84	0.81	0.85	0.79	0.85	0.84	0.81	0.85	0.85	0.82	0.84	0.77	0.81
ATF2:ENSG00000115966:E7.2-E11.1|ENSG00000115966:E7.2-E10.1	0.18	0.21	0.18	0.16	0.24	0.21	0.27	0.22	0.13	0.18	0.23	0.14	0.22	0.27	0.11	0.12	0.14	0.1	0.1	0.15	0.24	0.22
MORN1:ENSG00000116151:E6.3-E7.1|ENSG00000116151:E6.3-E8.1	0.0	0	0.0	0.04	0.0	0.26	0.08	0	0.0	0.21	0.0	0	0.0	0.0	0.0	0.0	0.08	0.03	0.0	0.06	0.12	0.27
MORN1:ENSG00000116151:E6.3-E8.1|ENSG00000116151:E6.3-E7.1	1.0	0	1.0	0.96	1.0	0.74	0.83	0	1.0	0.79	1.0	0	1.0	1.0	1.0	1.0	0.92	0.97	1.0	0.94	0.88	0.73
TJP2:ENSG00000119139:E24.2-E26.1|ENSG00000119139:E25.1-E26.1	0.47	0.47	0.32	0.39	0.22	0.2	0.22	0.31	0.34	0.49	0.46	0.4	0.38	0.34	0.46	0.39	0.32	0.35	0.5	0.33	0.34	0.43
TJP2:ENSG00000119139:E25.1-E26.1|ENSG00000119139:E24.2-E26.1	0.22	0.22	0.3	0.3	0.4	0.58	0.53	0.35	0.3	0.25	0.2	0.29	0.26	0.25	0.27	0.29	0.42	0.25	0.16	0.4	0.3	0.27
TJP2:ENSG00000119139:E24.2-E25.1|ENSG00000119139:E24.2-E26.1	0.19	0.17	0.28	0.2	0.29	0.48	0.46	0.26	0.24	0.2	0.14	0.21	0.2	0.21	0.17	0.25	0.3	0.18	0.12	0.29	0.28	0.16
DENND1A:ENSG00000119522:E116.3-E117.1|ENSG00000119522:E116.3-E119.1	0.02	0.1	0.13	0.0	0.07	0.32	0.37	0.17	0.05	0.0	0.09	0.02	0.23	0.02	0.02	0.14	0.06	0.08	0.03	0.04	0.05	0.16
SMUG1:ENSG00000123415:E6.4-E7.1|ENSG00000123415:I6.1-E7.1	0.07	0.16	0.06	0.04	0.08	0.15	0.16	0.08	0.05	0.16	0.04	0.06	0.15	0.11	0.09	0.13	0.09	0.11	0.04	0.05	0.18	0.17
SMUG1:ENSG00000123415:E6.9-I6.1|ENSG00000123415:E6.4-E7.1	0.87	0.65	0.86	0.91	0.81	0.7	0.59	0.8	0.88	0.67	0.91	0.85	0.7	0.8	0.81	0.71	0.81	0.79	0.9	0.9	0.67	0.65
SMUG1:ENSG00000123415:I6.1-E7.1|ENSG00000123415:E6.4-E7.1	0.88	0.75	0.88	0.91	0.88	0.77	0.7	0.88	0.92	0.76	0.94	0.87	0.74	0.8	0.85	0.78	0.82	0.69	0.93	0.9	0.72	0.72
FASTKD3:ENSG00000124279:E3.11-I3.1|ENSG00000124279:E3.11-E5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EML2:ENSG00000125746:E6.6-E8.2|ENSG00000125746:E4.11-E8.2	0.21	0.15	0.19	0.15	0.13	0.74	0.3	0.3	0.13	0.11	0.14	0.27	0.25	0.03	0.1	0.08	0.12	0.09	0.06	0.03	0.76	0.28
KTN1:ENSG00000126777:E51.4-E52.2|ENSG00000126777:E51.2-E52.2	0.18	0.14	0.24	0.13	0.13	0.39	0.25	0.29	0.19	0.15	0.19	0.17	0.21	0.15	0.16	0.14	0.17	0.15	0.14	0.16	0.35	0.23
CCDC136:ENSG00000128596:E16.11-E17.2|ENSG00000128596:E15.2-E25.1	0.43	0.33	0.54	0.17	0.3	0.66	0.81	0.27	0.15	0.45	0.29	0.19	0.29	0.34	0.11	0.13	0.31	0.06	0.19	0.22	0.8	0.32
