PSI	Metadata
TCGA-BF-AAP8-01A-11R-A40A-07.bed	TCGA-BF-AAP8
TCGA-EB-A3Y7-01A-11R-A239-07.bed	TCGA-EB-A3Y7
TCGA-FR-A728-01A-11R-A32P-07.bed	TCGA-FR-A728
TCGA-EB-A5SE-01A-11R-A311-07.bed	TCGA-EB-A5SE
TCGA-EE-A29C-06A-21R-A18S-07.bed	TCGA-EE-A29C
TCGA-D3-A3CF-06A-11R-A18T-07.bed	TCGA-D3-A3CF
TCGA-D3-A8GQ-06A-11R-A37K-07.bed	TCGA-D3-A8GQ
TCGA-D3-A3C8-06A-12R-A18S-07.bed	TCGA-D3-A3C8
TCGA-YD-A89C-06A-11R-A37K-07.bed	TCGA-YD-A89C
TCGA-FW-A5DX-01A-11R-A27Q-07.bed	TCGA-FW-A5DX
TCGA-EE-A29H-06A-12R-A18S-07.bed	TCGA-EE-A29H
TCGA-EE-A29B-06A-11R-A18U-07.bed	TCGA-EE-A29B
TCGA-D3-A8GO-06A-11R-A37K-07.bed	TCGA-D3-A8GO
TCGA-D9-A6EG-06A-12R-A32P-07.bed	TCGA-D9-A6EG
TCGA-EB-A24C-01A-11R-A18T-07.bed	TCGA-EB-A24C
TCGA-EB-A82C-01A-11R-A352-07.bed	TCGA-EB-A82C
TCGA-ER-A19E-06A-11R-A18S-07.bed	TCGA-ER-A19E
TCGA-EE-A3JH-06A-11R-A21D-07.bed	TCGA-EE-A3JH
TCGA-D3-A2JD-06A-11R-A18T-07.bed	TCGA-D3-A2JD
TCGA-EB-A551-01A-21R-A27Q-07.bed	TCGA-EB-A551
TCGA-D3-A1Q1-06A-21R-A18T-07.bed	TCGA-D3-A1Q1
TCGA-D3-A1QA-07A-11R-A37K-07.bed	TCGA-D3-A1QA
TCGA-EE-A20F-06A-21R-A18S-07.bed	TCGA-EE-A20F
TCGA-FS-A1ZF-06A-12R-A18S-07.bed	TCGA-FS-A1ZF
TCGA-D3-A3MR-06A-11R-A21D-07.bed	TCGA-D3-A3MR
TCGA-WE-A8ZN-06A-11R-A37K-07.bed	TCGA-WE-A8ZN
TCGA-ER-A2NF-06A-11R-A18T-07.bed	TCGA-ER-A2NF
TCGA-WE-A8ZY-06A-11R-A37K-07.bed	TCGA-WE-A8ZY
TCGA-EB-A553-01A-12R-A27Q-07.bed	TCGA-EB-A553
TCGA-HR-A5NC-01A-11R-A27Q-07.bed	TCGA-HR-A5NC
TCGA-FS-A1ZR-06A-21R-A18U-07.bed	TCGA-FS-A1ZR
TCGA-EB-A299-01A-21R-A18U-07.bed	TCGA-EB-A299
TCGA-EB-A44R-06A-41R-A266-07.bed	TCGA-EB-A44R
TCGA-EE-A2GC-06A-11R-A18T-07.bed	TCGA-EE-A2GC
TCGA-FS-A1ZT-06A-11R-A18U-07.bed	TCGA-FS-A1ZT
TCGA-BF-AAOU-01A-12R-A39D-07.bed	TCGA-BF-AAOU
TCGA-EB-A3XE-01A-12R-A239-07.bed	TCGA-EB-A3XE
TCGA-EB-A6QZ-01A-12R-A32P-07.bed	TCGA-EB-A6QZ
TCGA-FS-A1ZD-06A-11R-A18T-07.bed	TCGA-FS-A1ZD
TCGA-EE-A2MS-06A-11R-A18S-07.bed	TCGA-EE-A2MS
TCGA-Z2-AA3S-06A-11R-A39D-07.bed	TCGA-Z2-AA3S
TCGA-EB-A57M-01A-51R-A311-07.bed	TCGA-EB-A57M
TCGA-BF-A1PU-01A-11R-A18S-07.bed	TCGA-BF-A1PU
TCGA-D9-A4Z6-06A-12R-A266-07.bed	TCGA-D9-A4Z6
TCGA-FR-A69P-06A-21R-A311-07.bed	TCGA-FR-A69P
TCGA-EE-A3J7-06A-11R-A20F-07.bed	TCGA-EE-A3J7
TCGA-D3-A3MV-06A-11R-A21D-07.bed	TCGA-D3-A3MV
TCGA-ER-A19J-06A-11R-A18S-07.bed	TCGA-ER-A19J
TCGA-ER-A19P-06A-11R-A18S-07.bed	TCGA-ER-A19P
TCGA-D3-A2JK-06A-11R-A18S-07.bed	TCGA-D3-A2JK
TCGA-FR-A3R1-01A-11R-A239-07.bed	TCGA-FR-A3R1
TCGA-EE-A29P-06A-11R-A18T-07.bed	TCGA-EE-A29P
TCGA-D9-A3Z1-06A-11R-A239-07.bed	TCGA-D9-A3Z1
TCGA-RP-A690-06A-11R-A311-07.bed	TCGA-RP-A690
TCGA-ER-A42K-06A-11R-A24X-07.bed	TCGA-ER-A42K
TCGA-ER-A19L-06A-12R-A18S-07.bed	TCGA-ER-A19L
TCGA-GN-A266-06A-11R-A18T-07.bed	TCGA-GN-A266
TCGA-WE-AAA3-06A-11R-A38C-07.bed	TCGA-WE-AAA3
TCGA-ER-A3PL-06A-11R-A239-07.bed	TCGA-ER-A3PL
TCGA-BF-AAP1-01A-11R-A39D-07.bed	TCGA-BF-AAP1
TCGA-EE-A2M7-06A-11R-A18U-07.bed	TCGA-EE-A2M7
TCGA-DA-A1IA-06A-11R-A18S-07.bed	TCGA-DA-A1IA
TCGA-BF-A5ES-01A-11R-A27Q-07.bed	TCGA-BF-A5ES
TCGA-GN-A4U7-06A-21R-A32P-07.bed	TCGA-GN-A4U7
TCGA-EE-A2GI-06A-11R-A18T-07.bed	TCGA-EE-A2GI
TCGA-D3-A51N-06A-11R-A266-07.bed	TCGA-D3-A51N
TCGA-EE-A29G-06A-12R-A18T-07.bed	TCGA-EE-A29G
TCGA-EB-A1NK-01A-11R-A18T-07.bed	TCGA-EB-A1NK
TCGA-EE-A2MD-06A-11R-A18T-07.bed	TCGA-EE-A2MD
TCGA-EE-A3JI-06A-11R-A21D-07.bed	TCGA-EE-A3JI
TCGA-EB-A85I-01A-11R-A352-07.bed	TCGA-EB-A85I
TCGA-ER-A19G-06A-11R-A18U-07.bed	TCGA-ER-A19G
TCGA-EE-A29D-06A-11R-A18T-07.bed	TCGA-EE-A29D
TCGA-D3-A51T-06A-11R-A266-07.bed	TCGA-D3-A51T
TCGA-EE-A2ML-06A-11R-A18S-07.bed	TCGA-EE-A2ML
TCGA-D3-A51G-06A-11R-A266-07.bed	TCGA-D3-A51G
TCGA-EE-A3J4-06A-11R-A20F-07.bed	TCGA-EE-A3J4
TCGA-WE-AAA4-06A-12R-A38C-07.bed	TCGA-WE-AAA4
TCGA-Z2-AA3V-06A-11R-A39D-07.bed	TCGA-Z2-AA3V
TCGA-ER-A42H-01A-11R-A24X-07.bed	TCGA-ER-A42H
TCGA-EE-A29T-06A-11R-A18T-07.bed	TCGA-EE-A29T
TCGA-D9-A149-06A-11R-A18S-07.bed	TCGA-D9-A149
TCGA-DA-A1IC-06A-11R-A18S-07.bed	TCGA-DA-A1IC
TCGA-YG-AA3N-01A-11R-A38C-07.bed	TCGA-YG-AA3N
TCGA-GN-A262-06A-11R-A18T-07.bed	TCGA-GN-A262
TCGA-FS-A4F4-06A-12R-A266-07.bed	TCGA-FS-A4F4
TCGA-EE-A2GO-06A-11R-A18S-07.bed	TCGA-EE-A2GO
TCGA-XV-A9VZ-01A-11R-A38C-07.bed	TCGA-XV-A9VZ
TCGA-ER-A19B-06A-11R-A18S-07.bed	TCGA-ER-A19B
TCGA-EE-A2MQ-06A-11R-A18S-07.bed	TCGA-EE-A2MQ
TCGA-D3-A8GD-06A-11R-A37K-07.bed	TCGA-D3-A8GD
TCGA-EB-A6QY-01A-12R-A32P-07.bed	TCGA-EB-A6QY
TCGA-BF-A9VF-01A-11R-A37K-07.bed	TCGA-BF-A9VF
TCGA-FR-A7U9-06A-11R-A352-07.bed	TCGA-FR-A7U9
TCGA-EB-A3XC-01A-11R-A239-07.bed	TCGA-EB-A3XC
TCGA-DA-A1I1-06A-12R-A18U-07.bed	TCGA-DA-A1I1
TCGA-W3-AA1R-06A-11R-A39D-07.bed	TCGA-W3-AA1R
TCGA-EB-A3XD-01A-22R-A239-07.bed	TCGA-EB-A3XD
TCGA-ER-A198-06A-11R-A18T-07.bed	TCGA-ER-A198
TCGA-EB-A3Y6-01A-21R-A239-07.bed	TCGA-EB-A3Y6
TCGA-EE-A2MJ-06A-11R-A18S-07.bed	TCGA-EE-A2MJ
TCGA-D3-A3C7-06A-11R-A18U-07.bed	TCGA-D3-A3C7
TCGA-ER-A3ES-06A-11R-A20F-07.bed	TCGA-ER-A3ES
TCGA-EE-A20H-06A-11R-A18S-07.bed	TCGA-EE-A20H
TCGA-GN-A4U8-11A-11R-A32P-07.bed	TCGA-GN-A4U8
TCGA-FR-A2OS-01A-11R-A21D-07.bed	TCGA-FR-A2OS
TCGA-EE-A2MF-06A-11R-A21D-07.bed	TCGA-EE-A2MF
